Customer_ID,Name,Last_Purchase_Date,Days_Since_Purchase,Total_Spend_INR,Purchase_Frequency,Product_Category,Average_Order_Value_INR
C001,Ananya,2026-08-10,8,4200,3,Skincare,1400
C002,Rahul,2026-08-05,13,7800,5,Electronics,1560
C003,Sneha,2026-07-28,21,3200,2,Fashion,1600
C004,Arjun,2026-07-20,29,12500,6,Shoes,2083
C005,Meera,2026-07-15,34,6800,4,Home Decor,1700
C006,Vikram,2026-07-10,39,9200,5,Electronics,1840
C007,Priya,2026-07-01,48,5600,3,Skincare,1867
C008,Karan,2026-06-25,54,11300,5,Sportswear,2260
C009,Divya,2026-06-20,59,4100,2,Fashion,2050
C010,Rohan,2026-06-15,64,3500,2,Grocery,1750
C011,Isha,2026-06-01,78,7200,3,Beauty,2400
C012,Aditya,2026-05-15,95,2800,1,Electronics,2800
C013,Nisha,2026-05-01,109,9400,4,Home Decor,2350
C014,Sanjay,2026-04-20,120,1500,1,Fashion,1500
C015,Pooja,2026-04-01,139,6200,3,Skincare,2067
C016,Aarav,2026-07-05,44,22000,8,Electronics,2750
C017,Diya,2026-06-28,51,18500,7,Skincare,2643
C018,Kabir,2026-06-10,69,32000,10,Shoes,3200
C019,Tanya,2026-05-20,90,27500,9,Fashion,3056
C020,Neel,2026-05-01,109,18500,6,Electronics,3083
C021,Riya,2026-08-17,1,15000,7,Beauty,2143
C022,Varun,2026-07-19,30,14500,5,Sportswear,2900
C023,Aditi,2026-07-19,30,22000,8,Skincare,2750
C024,Manav,2026-06-19,60,7000,4,Electronics,1750
C025,Shreya,2026-06-18,61,16000,6,Fashion,2667
C026,Dev,2026-08-01,17,900,1,Grocery,900
C027,Maya,2026-07-31,18,15000,6,Home Decor,2500
C028,Yash,2026-07-01,48,14999,5,Electronics,3000
C029,Neha,2026-07-01,48,15000,5,Electronics,3000
C030,Sameer,2026-06-29,50,3000,6,Sportswear,500
C031,Kavya,2026-06-29,50,16000,3,Beauty,5333
C032,Rahul S,2026-06-19,60,14999,5,Fashion,3000
C033,Ishaan,2026-06-18,61,15000,5,Shoes,3000
C034,Lara,2026-08-12,6,0,0,None,0
C035,Aman,2026-07-01,48,45000,2,Luxury Watches,22500
C036,Sana,2026-05-20,90,50000,12,Luxury Fashion,4167
C037,Om,2026-08-02,16,3000,20,Grocery,150
C038,Eva,2026-06-30,49,500,1,Books,500
C039,Joel,2026-04-01,139,0,0,None,0
C040,Fatima,2026-07-20,29,14999,6,Skincare,2500
C041,Nitin,2026-07-21,28,16000,7,Electronics,2286
C042,Sara,2026-06-21,58,14999,6,Fashion,2500
C043,Harish,2026-06-20,59,15000,6,Sportswear,2500
C044,Leena,2026-05-19,91,14999,5,Home Decor,3000
C045,Mohit,2026-05-18,92,15000,5,Home Decor,3000
C046,Zoya,2026-07-31,18,25000,1,Luxury Beauty,25000
C047,Akash,2026-08-01,17,1000,10,Grocery,100
C048,Nandini,2026-06-01,78,15000,5,Skincare,3000
C049,Siddharth,2026-04-19,121,14900,5,Electronics,2980
C050,Alisha,2026-07-02,47,18000,8,Skincare,2250
